_id,ov,classeDeRisco,cliente,compromissoTotal,condicaoDePagamento,contaCredito,dataCriacao,emissorCliente,grauDeUtilizacao,limiteDeCredito,moeda,motivo,pedidosPendentes,razaoEspecial,saldo,saldoDuplicatas,totalDeCredito,totalDeCreditoComImposto,valorVendas
5fdd01899591691c94387798,1304464,4,MOINHO TAQUARIENSE LTDA,368707.72,V009,9201,18.12.2020,9201,36.87,1000000,BRL,Part.mais ant.,118032.04,0,0,250675.68,20092.78,22832.7,118032.04
5fe09ee7c5f47351cef72e38,1304465,4,MINERAÇÃO BELOCAL LTDA,767369.03,V009,37336,18.12.2020,37336,76.74,1000000,BRL,Part.mais ant.,519755.43,0,0,247613.6,0,0,519755.43
5fe0a1c0c5f47351cefa6e6b,1304198,2,BANDEIRANTE QUIMICA LTDA.,3923583.71,V020,50384,26.11.2020,66885,98.09,4000000,BRL,Verif.estática,87705.75,0,0,3835877.96,92086.34,104643.56,87705.75
5fe0c9b5c5f47351ce276e6e,6470722,4,YPIOCA INDUSTRIAL DE BEBIDAS S.A,3075828.32,V547,18108,11.12.2020,58866,51.26,6000000,BRL,Verif.estática,1128322.46,0,0,1947505.86,63360,82800,1128322.46
5fe24a08c5f47351cec771bd,1304194,2,CP KELCO BRASIL S/A,3171813.27,V009,60907,26.11.2020,60907,105.73,3000000,BRL,Verif.estática,1524262.48,0,0,1647550.79,88644.32,100732.18,1524262.48
5fe328efc5f47351cead6e30,1304415,2,GLOBAL PAPEIS EIRELI,491803.66,V006,73633,11.12.2020,73633,81.97,600000,BRL,Data cliente,5475.33,489189.79,0,975518.12,73265.66,83256.43,5475.33
5fe33720c5f47351cebc158b,6470873,RA,FRUTAS B. S. LTDA,555014.71,V001,57737,22.12.2020,57737,999.99,0,BRL,Verif.estática,264435.3,29958.82,0,320538.23,13200,15000,264435.3
5fe365aac5f47351ceefbf74,1304411,2,BANDEIRANTE QUIMICA LTDA.,3923583.71,V020,50384,11.12.2020,66885,98.09,4000000,BRL,Verif.estática,87705.75,0,0,3835877.96,85353.3,96992.38,87705.75
5fe390dac5f47351ce1a03d2,1304473,RA,MULTIVERDE PAPEIS ESPECIAIS LTDA.,250122.95,PANT,63362,22.12.2020,63362,999.99,0,BRL,Part.mais ant.,197214.59,30262.5,0,83170.86,4373.97,4960.27,197214.59
5feb34fac5f47351ce0b4fc0,6560275,2,COTEMINAS S/A,999768.96,V027,10026,21.09.2020,38912,99.98,1000000,BRL,Verif.estática,14085.49,0,0,985683.47,44388.55,58007.75,14085.49
5feb3995c5f47351ce11be68,6589380,3,IND DE ALIMENTOS PATA NEGRA LTDA EP,233327.73,V009,47981,26.10.2020,47981,93.33,250000,BRL,Verif.estática,195163.98,0,0,38163.75,25608,29100,195163.98
5feb39bcc5f47351ce121b56,6626735,false,BOMBRIL S A,414625.6,V008,5191,15.12.2020,10890,999.99,0,BRL,Verif.estática,57756.27,0,0,356869.33,377930.9,530025,57756.27
5feb55a2c5f47351ce327623,6553050,2,ELIZABETH PORCELANATO LTDA,495941.45,V010,59984,14.09.2020,18264,99.19,500000,BRL,Verif.estática,512137.89,159489.75,0,143293.31,40981.25,53555.04,512137.89
5feb5e39c5f47351ce3b707c,6638976,CA+,CRISTAL PET DO BRASIL INDUSTRIA DE,1087729.16,V333,48220,29.12.2020,48220,87.02,1250000,BRL,Verif.estática,562525.35,0,0,525203.81,331652.88,410108.4,562525.35
